Origin Time (GMT),Status,cntP,Mag,TypeMag,cntM,AZgap,RMS,Lat,Lon,Depth,Remarks
 2022-02-14 02:58:42 , manual , 7   , 2.3 , M       , 2   , 127 , 3.9 , 3.26 S  , 102.40 E , 10 km  ," Southern Sumatra, Indonesia       "
 2022-02-14 02:28:33 , manual , 9   , 2.9 , M       , 7   , 153 , 0.6 , 2.67 S  , 102.21 E , 154 km ," Southern Sumatra, Indonesia       "
 2022-02-13 23:59:24 , manual , 16  , 2.8 , MLv     , 5   , 90  , 1.6 , 0.73 S  , 123.23 E , 10 km  ," Minahassa Peninsula, Sulawesi     "
 2022-02-13 23:13:47 , manual , 13  , 3.3 , MLv     , 6   , 161 , 0.7 , 0.82 N  , 120.56 E , 10 km  ," Minahassa Peninsula, Sulawesi     "
 2022-02-13 22:32:05 , manual , 12  , 4.4 , mb      , 8   , 95  , 1.4 , 54.65 N , 157.32 W , 148 km , South of Alaska                   
 2022-02-13 22:09:01 , manual , 12  , 3.2 , MLv     , 3   , 173 , 0.3 , 8.06 S  , 122.45 E , 10 km  ," Flores Region, Indonesia          "
 2022-02-13 21:48:49 , manual , 12  , 2.8 , MLv     , 2   , 135 , 0.7 , 0.76 N  , 125.87 E , 10 km  , Northern Molucca Sea              
 2022-02-13 21:44:27 , manual , 20  , 2.6 , MLv     , 7   , 88  , 1.7 , 2.54 S  , 121.22 E , 10 km  ," Sulawesi, Indonesia               "
 2022-02-13 20:49:46 , manual , 29  , 5.3 , mb      , 22  , 155 , 1.1 , 11.83 N , 144.46 E , 49 km  , South of Mariana Islands          
 2022-02-13 20:31:50 , manual , 32  , 4.8 , MLv     , 13  , 114 , 1.1 , 6.90 S  , 127.06 E , 395 km , Banda Sea                         
 2022-02-13 20:29:49 , manual , 89  , 5.7 , mb      , 66  , 129 , 1.2 , 11.85 N , 144.42 E , 48 km  , South of Mariana Islands          
 2022-02-13 20:28:05 , manual , 36  , 4.0 , MLv     , 11  , 109 , 1.6 , 3.65 S  , 129.38 E , 10 km  ," Seram, Indonesia                  "
 2022-02-13 19:03:34 , manual , 9   , 3.2 , MLv     , 4   , 120 , 0.8 , 2.39 S  , 138.91 E , 22 km  ," Irian Jaya, Indonesia             "
 2022-02-13 19:02:44 , manual , 17  , 2.2 , MLv     , 7   , 81  , 1.0 , 2.51 S  , 120.90 E , 10 km  ," Sulawesi, Indonesia               "
 2022-02-13 18:50:13 , manual , 36  , 2.8 , MLv     , 11  , 58  , 1.5 , 1.34 S  , 120.48 E , 10 km  ," Sulawesi, Indonesia               "
 2022-02-13 18:26:03 , manual , 108 , 5.3 , mb      , 80  , 122 , 1.1 , 40.99 N , 44.05 E  , 67 km  , Georgia Armenia Turkey Border Reg.
 2022-02-13 17:16:32 , manual , 6   , 1.7 , MLv     , 3   , 171 , 1.0 , 0.51 N  , 122.11 E , 17 km  ," Minahassa Peninsula, Sulawesi     "
 2022-02-13 17:14:36 , manual , 15  , 2.5 , MLv     , 4   , 225 , 0.3 , 7.65 S  , 122.65 E , 42 km  , Flores Sea                        
 2022-02-13 17:08:17 , manual , 12  , 2.3 , MLv     , 4   , 216 , 0.9 , 7.94 S  , 118.59 E , 44 km  , Flores Sea                        
 2022-02-13 16:39:08 , manual , 11  , 3.2 , MLv     , 3   , 220 , 0.8 , 7.65 S  , 122.82 E , 116 km , Flores Sea                        
 2022-02-13 16:34:37 , manual , 8   , 2.5 , MLv     , 3   , 131 , 0.6 , 9.05 S  , 124.02 E , 20 km  , Timor Region                      
